№,Секунда,Микросекунда
1,6,784809
2,6,795952
3,6,805981
4,6,816085
5,6,826178
6,6,836238
7,6,846666
8,6,857163
9,6,867667
10,6,878163
11,6,888634
12,6,898668
13,6,909171
14,6,919665
15,6,930193
16,6,940667
17,6,951152
18,6,961199
19,6,971689
20,6,982152
21,6,992647
22,7,3164
23,7,13660
24,7,24148
25,7,34371
26,7,44461
27,7,54881
28,7,64919
29,7,75427
30,7,85931
31,7,96079
32,7,106576
33,7,116794
34,7,127247
35,7,137305
36,7,147658
37,7,157889
38,7,168373
39,7,178733
40,7,188962
41,7,199107
42,7,209480
43,7,219867
44,7,230377
45,7,240454
46,7,250508
47,7,260731
48,7,271054
49,7,281081
50,7,291272
51,7,301411
52,7,311579
53,7,321866
54,7,331903
55,7,341928
56,7,351954
57,7,362434
58,7,372742
59,7,383249
60,7,393729
61,7,404168
62,7,414205
63,7,424687
64,7,435164
65,7,445641
66,7,455933
67,7,466442
68,7,476954
69,7,487441
70,7,497925
71,7,507947
72,7,518410
73,7,528540
74,7,538647
75,7,549152
76,7,559642
77,7,570146
78,7,580174
79,7,590680
80,7,601189
81,7,611225
82,7,621689
83,7,632158
84,7,642237
85,7,652636
86,7,663116
87,7,673605
88,7,683652
89,7,694176
90,7,704653
91,7,714960
92,7,725473
93,7,735953
94,7,746459
95,7,756493
96,7,766990
97,7,777479
98,7,787509
99,7,797963
100,7,808122
101,7,818495
102,7,828645
103,7,839170
104,7,849629
105,7,859919
106,7,870111
107,7,880141
108,7,890538
109,7,900641
110,7,910662
111,7,920757
112,7,930917
113,7,941343
114,7,951855
115,7,961918
116,7,972431
117,7,982646
118,7,992840
119,8,3347
120,8,13828
121,8,24353
122,8,34773
123,8,45290
124,8,55784
125,8,66270
126,8,76777
127,8,87247
128,8,97363
129,8,107738
130,8,117816
131,8,128312
132,8,138805
133,8,149296
134,8,159894
135,8,170379
136,8,180490
137,8,191042
138,8,201536
139,8,212037
140,8,222173
141,8,232669
142,8,242966
143,8,253151
144,8,263662
145,8,274200
146,8,284712
147,8,295227
148,8,305372
149,8,315887
150,8,326383
151,8,336513
152,8,347003
153,8,357558
154,8,368065
155,8,378544
156,8,388962
157,8,399471
158,8,409806
159,8,419927
160,8,430400
161,8,440898
162,8,450930
163,8,461317
164,8,471435
165,8,481945
166,8,492073
167,8,502480
168,8,512593
169,8,523097
170,8,533574
171,8,543745
172,8,554227
173,8,564373
174,8,574516
175,8,584936
176,8,595095
177,8,605127
178,8,615655
179,8,626132
180,8,636171
181,8,646365
182,8,656563
183,8,667053
184,8,677536
185,8,687611
186,8,698109
187,8,708572
188,8,718768
189,8,728830
190,8,739352
191,8,749913
192,8,760434
193,8,770953
194,8,781470
195,8,791974
196,8,802490
197,8,812608
198,8,823099
199,8,833616
200,8,844129
201,8,854617
202,8,865108
203,8,875470
204,8,885932
205,8,896447
206,8,906794
207,8,916932
208,8,927450
209,8,937495
210,8,947965
211,8,958470
212,8,968952
213,8,979439
214,8,989958
215,9,465
216,9,10515
217,9,20962
218,9,30992
219,9,41472
220,9,51965
221,9,61997
222,9,72221
223,9,82335
224,9,92705
225,9,102764
226,9,113158
227,9,123652
228,9,134136
229,9,144668
230,9,155160
231,9,165611
232,9,175641
233,9,185822
234,9,196155
235,9,206834
236,9,217416
237,9,227665
238,9,238161
239,9,248293
240,9,258776
241,9,269095
242,9,279595
243,9,290082
244,9,300605
245,9,311079
246,9,321595
247,9,332091
248,9,342586
249,9,353098
250,9,363593
251,9,374119
252,9,384272
253,9,394664
254,9,404740
255,9,415073
256,9,425236
257,9,435740
258,9,445860
259,9,456366
260,9,466941
261,9,477450
262,9,487946
263,9,498177
264,9,508320
265,9,518819
266,9,528852
267,9,539383
268,9,549881
269,9,560000
270,9,570353
271,9,580385
272,9,590846
273,9,601381
274,9,611429
275,9,621962
276,9,632124
277,9,642640
278,9,653151
279,9,663411
280,9,673711
281,9,684200
282,9,694577
283,9,704766
284,9,715246
285,9,725271
286,9,735775
287,9,746041
288,9,756516
289,9,767036
290,9,777545
291,9,788037
292,9,798534
293,9,808573
294,9,818990
295,9,829075
296,9,839135
297,9,849579
298,9,859615
299,9,870080
300,9,880440
